LABEL,INDEX,nr_pix,rows_with_2,cols_with_2,rows_with_3p,cols_with_3p,height,width,left2tile,right2tile,verticalness,top2tile,bottom2tile,horizontalness,zero_bottom_right
three,4,36,3,3,6,6,16,12,6,3,0.25,17,16,0.916666667,1
three,5,44,3,2,6,10,15,14,2,2,0.090909091,23,25,1.090909091,2
three,6,37,5,3,4,7,14,11,6,3,0.243243243,16,17,0.891891892,4
three,7,40,1,1,6,8,17,10,7,5,0.3,19,19,0.95,1
three,8,47,2,2,6,10,16,13,8,6,0.29787234,23,23,0.978723404,0
two,1,42,4,0,4,11,15,13,7,6,0.30952381,24,21,1.071428571,1
two,2,52,5,2,8,11,15,18,5,3,0.153846154,23,21,0.846153846,4
two,3,47,5,0,4,13,16,15,6,6,0.255319149,24,22,0.978723404,1
two,4,42,5,2,5,9,14,16,7,5,0.285714286,18,16,0.80952381,1
two,5,42,4,3,4,9,15,16,5,6,0.261904762,18,17,0.833333333,3
two,6,42,4,4,3,8,16,16,6,7,0.30952381,20,19,0.928571429,2
two,7,46,4,4,5,10,15,18,5,5,0.217391304,23,23,1,2
two,8,48,4,0,5,12,17,16,6,6,0.25,23,21,0.916666667,2
